code;title;description;icon_url
first_win;Первая победа;Одержать первую победу в игре;
ten_wins;Десять побед;Одержать 10 побед;
fifty_wins;Полсотни побед;Одержать 50 побед;
hundred_wins;Сотня побед;Одержать 100 побед;
first_game;Первая игра;Сыграть первую игру;
ten_games;Десять игр;Сыграть 10 игр;
fifty_games;Полсотни игр;Сыграть 50 игр;
hundred_games;Сотня игр;Сыграть 100 игр;
rating_1000;Только размялся;Достичь рейтинга 500 очков;
rating_1500;Вошёл во вкус;Достичь рейтинга 1500 очков;
rating_3000;Легенда;Достичь рейтинга 3000 очков;
quick_win;Быстрая победа;Победить менее чем за 10 ходов;
win_streak_3;Серия из 3 побед;Одержать 3 победы подряд;
win_streak_5;Серия из 5 побед;Одержать 5 побед подряд;
win_streak_10;Всё ещё достоин;Одержать 10 побед подряд;
